ENSG00000148288 GBGT1 gene_1
ENSG00000227972 PRKRIRP3 gene_1446
ENSG00000141644 MBD1 gene_1447
ENSG00000169385 RNASE2 gene_1448
ENSG00000227335 IGHJ1P gene_1449
ENSG00000036448 MYOM2 gene_1450
ENSG00000277302 MIR7844 gene_1451
ENSG00000155087 ODF1 gene_1452
ENSG00000227456 LINC00310 gene_1453
ENSG00000100376 FAM118A gene_1454
ENSG00000253676 TAGLN2P1 gene_1455
ENSG00000049246 PER3 gene_1456
ENSG00000196636 SDHAF3 gene_1457
ENSG00000187116 LILRA5 gene_1458
ENSG00000196189 SEMA4A gene_1459
ENSG00000237159 CNTFR-AS1 gene_1460
ENSG00000184678 HIST2H2BE gene_1461
ENSG00000184602 SNN gene_1462
ENSG00000224924 LINC00320 gene_1463
ENSG00000175866 BAIAP2 gene_1464
ENSG00000206043 C18orf63 gene_1465
ENSG00000201241 RNU6-978P gene_1466
ENSG00000172201 ID4 gene_1467
ENSG00000164985 PSIP1 gene_1468
ENSG00000206975 RNU6-13P gene_1469
ENSG00000170035 UBE2E3 gene_1470
ENSG00000115008 IL1A gene_1471
ENSG00000167748 KLK1 gene_1472
ENSG00000249730 OR10J4 gene_1473
ENSG00000172324 OR5A2 gene_1474
ENSG00000253247 IGHV3-76 gene_1475
ENSG00000151502 VPS26B gene_1476
ENSG00000225573 RPL35P5 gene_1477
ENSG00000241162 RN7SL617P gene_1478
ENSG00000265566 RN7SL605P gene_1479
ENSG00000183010 PYCR1 gene_1480
ENSG00000074211 PPP2R2C gene_1481
ENSG00000226284 ARPC3P1 gene_1482
ENSG00000024048 UBR2 gene_1483
ENSG00000221261 MIR1208 gene_1484
ENSG00000252963 RN7SKP147 gene_1485
ENSG00000128965 CHAC1 gene_1486
ENSG00000117448 AKR1A1 gene_1487
ENSG00000265813 RN7SL300P gene_1488
ENSG00000118900 UBN1 gene_1489
ENSG00000081138 CDH7 gene_1490
ENSG00000226362 FAM41AY2 gene_1491
ENSG00000152582 SPEF2 gene_1492
ENSG00000165730 STOX1 gene_1493
ENSG00000212571 RNA5SP482 gene_1494
ENSG00000230231 FMO7P gene_1495
ENSG00000129197 RPAIN gene_1496
ENSG00000222589 RN7SKP159 gene_1497
ENSG00000234125 EEF1GP8 gene_1498
ENSG00000231256 C17orf105 gene_1499
ENSG00000104765 BNIP3L gene_1500
ENSG00000091127 PUS7 gene_1501
ENSG00000166794 PPIB gene_1502
ENSG00000119121 TRPM6 gene_1503
ENSG00000229315 MCHR2-AS1 gene_1504
ENSG00000047644 WWC3 gene_1505
ENSG00000187021 PNLIPRP1 gene_1506
ENSG00000241693 RN7SL704P gene_1507
ENSG00000180909 OR52B1P gene_1508
ENSG00000130822 PNCK gene_1509
ENSG00000144713 RPL32 gene_1510
ENSG00000235678 OR5AN2P gene_1511
ENSG00000259150 LINC00929 gene_1512
ENSG00000130943 PKDREJ gene_1513
ENSG00000204918 PRR20B gene_1514
ENSG00000252191 RNU6-751P gene_1515
ENSG00000214203 RPS4XP1 gene_1516
ENSG00000275677 MIR124-1 gene_1517
ENSG00000241570 PAQR9-AS1 gene_1518
ENSG00000214141 ACTN4P2 gene_1519
ENSG00000127980 PEX1 gene_1520
ENSG00000073734 ABCB11 gene_1521
ENSG00000239388 ASB14 gene_1522
ENSG00000198856 OSTC gene_1523
ENSG00000248877 PGBD4P4 gene_1524
ENSG00000241911 TRBVB gene_1525
ENSG00000211623 IGKV2D-26 gene_1526
ENSG00000260341 C2orf69P2 gene_1527
ENSG00000183597 TANGO2 gene_1528
ENSG00000212659 KRTAP9-6 gene_1529
ENSG00000117399 CDC20 gene_1530
ENSG00000163689 C3orf67 gene_1531
ENSG00000226122 DDC-AS1 gene_1532
ENSG00000226891 LINC01359 gene_1533
ENSG00000177469 PTRF gene_1534
ENSG00000106038 EVX1 gene_1535
ENSG00000251440 STMN1P2 gene_1536
ENSG00000177337 DLGAP1-AS1 gene_1537
ENSG00000165609 NUDT5 gene_1538
ENSG00000273048 MIR4720 gene_1539
ENSG00000238046 MTND5P22 gene_1540
ENSG00000101443 WFDC2 gene_1541
ENSG00000233861 MGAT2P1 gene_1542
ENSG00000143469 SYT14 gene_1543
ENSG00000268521 VN1R83P gene_1544
ENSG00000201789 RNU6-1071P gene_1545
ENSG00000135638 EMX1 gene_1546
ENSG00000160994 CCDC105 gene_1547
ENSG00000261742 LINC00922 gene_1548
ENSG00000253276 CCDC71L gene_1549
ENSG00000177400 OR7E8P gene_1550
ENSG00000137817 PARP6 gene_1551
ENSG00000106636 YKT6 gene_1552
ENSG00000099204 ABLIM1 gene_1553
ENSG00000232707 AP1B1P2 gene_1554
ENSG00000110665 C11orf21 gene_1555
ENSG00000164587 RPS14 gene_1556
ENSG00000094661 OR1I1 gene_1557
ENSG00000244528 SEPT14P2 gene_1558
ENSG00000084636 COL16A1 gene_1559
ENSG00000197786 OR5B17 gene_1560
ENSG00000275534 MIR20A gene_1561
ENSG00000222721 RN7SKP188 gene_1562
ENSG00000234309 SLC25A18P1 gene_1563
ENSG00000169876 MUC17 gene_1564
ENSG00000251884 RNA5SP288 gene_1565
ENSG00000185909 KLHDC8B gene_1566
ENSG00000185565 LSAMP gene_1567
ENSG00000207234 RNU6-125P gene_1568
ENSG00000237446 RHEBP3 gene_1569
ENSG00000211716 TRBV9 gene_1570
ENSG00000244422 RPL38P3 gene_1571
ENSG00000235571 SNX18P14 gene_1572
ENSG00000243716 NPIPB5 gene_1573
ENSG00000198393 ZNF26 gene_1574
ENSG00000237402 CAMTA1-IT1 gene_1575
ENSG00000271615 ACTG1P22 gene_1576
ENSG00000259525 GCSHP2 gene_1577
ENSG00000265178 MIR4728 gene_1578
ENSG00000117525 F3 gene_1579
ENSG00000154975 CA10 gene_1580
ENSG00000271638 BNIP3P19 gene_1581
ENSG00000005882 PDK2 gene_1582
ENSG00000207461 RNU6-253P gene_1583
ENSG00000125966 MMP24 gene_1584
ENSG00000277932 OR52E5 gene_1585
ENSG00000148215 OR5C1 gene_1586
ENSG00000231192 OR5H1 gene_1587
ENSG00000182077 PTCHD3 gene_1588
ENSG00000198865 CCDC152 gene_1589
ENSG00000165338 HECTD2 gene_1590
ENSG00000214465 SMARCE1P6 gene_1591
ENSG00000273079 GRIN2B gene_1592
ENSG00000207227 RNU6-900P gene_1593
ENSG00000173207 CKS1B gene_1594
ENSG00000223280 RNU6-57P gene_1595
ENSG00000112293 GPLD1 gene_1596
ENSG00000189308 LIN54 gene_1597
ENSG00000145425 RPS3A gene_1598
ENSG00000001630 CYP51A1 gene_1599
ENSG00000182853 VMO1 gene_1600
ENSG00000115042 FAHD2A gene_1601
ENSG00000153266 FEZF2 gene_1602
ENSG00000255460 ZDHHC20P3 gene_1603
ENSG00000077009 NMRK2 gene_1604
ENSG00000275402 MIR155 gene_1605
ENSG00000174173 TRMT10C gene_1606
ENSG00000215227 NUTF2P5 gene_1607
ENSG00000204147 ASAH2B gene_1608
ENSG00000207642 MIR571 gene_1609
ENSG00000240793 UBA52P8 gene_1610
ENSG00000270604 HCG17 gene_1611
ENSG00000091128 LAMB4 gene_1612
ENSG00000188295 ZNF669 gene_1613
ENSG00000137251 TINAG gene_1614
ENSG00000274618 HIST1H4F gene_1615
ENSG00000172348 RCAN2 gene_1616
ENSG00000232718 GAPDHP48 gene_1617
ENSG00000226734 SNRPGP12 gene_1618
ENSG00000230417 LINC00856 gene_1619
ENSG00000233971 RPS20P10 gene_1620
ENSG00000102678 FGF9 gene_1621
ENSG00000204103 MAFB gene_1622
ENSG00000229900 HSPD1P21 gene_1623
ENSG00000155903 RASA2 gene_1624
ENSG00000249465 RBMXP4 gene_1625
ENSG00000101000 PROCR gene_1626
ENSG00000258251 YPEL5P3 gene_1627
ENSG00000275411 MIR6882 gene_1628
ENSG00000133112 TPT1 gene_1629
ENSG00000234910 IL6RP1 gene_1630
ENSG00000177558 FAM187B gene_1631
ENSG00000161791 FMNL3 gene_1632
ENSG00000219776 RPL21P67 gene_1633
ENSG00000167723 TRPV3 gene_1634
ENSG00000250317 SMIM20 gene_1635
ENSG00000011600 TYROBP gene_1636
ENSG00000100644 HIF1A gene_1637
ENSG00000204439 C6orf47 gene_1638
ENSG00000102034 ELF4 gene_1639
ENSG00000226255 UBE2V2P1 gene_1640
ENSG00000164307 ERAP1 gene_1641
ENSG00000184741 OR5AQ1P gene_1642
ENSG00000263597 MIR3936 gene_1643
ENSG00000196177 ACADSB gene_1644
ENSG00000185662 SMIM23 gene_1645
ENSG00000185966 LCE3E gene_1646
ENSG00000117868 ESYT2 gene_1647
ENSG00000163472 TMEM79 gene_1648
ENSG00000077327 SPAG6 gene_1649
ENSG00000105677 TMEM147 gene_1650
ENSG00000075618 FSCN1 gene_1651
ENSG00000244218 RN7SL81P gene_1652
ENSG00000227183 HDGFP1 gene_1653
ENSG00000203786 KPRP gene_1654
ENSG00000183426 NPIPA1 gene_1655
ENSG00000217555 CKLF gene_1656
ENSG00000226608 FTLP3 gene_1657
ENSG00000223735 OR51B3P gene_1658
ENSG00000105696 TMEM59L gene_1659
ENSG00000101343 CRNKL1 gene_1660
ENSG00000134028 ADAMDEC1 gene_1661
ENSG00000242320 RPL21P126 gene_1662
ENSG00000272664 OR51C4P gene_1663
ENSG00000228083 IFNA14 gene_1664
ENSG00000206687 RNU1-109P gene_1665
ENSG00000160213 CSTB gene_1666
ENSG00000237294 EIF4BP9 gene_1667
ENSG00000187033 SAMD7 gene_1668
ENSG00000172824 CES4A gene_1669
ENSG00000067842 ATP2B3 gene_1670
ENSG00000105379 ETFB gene_1671
ENSG00000222459 RNA5SP293 gene_1672
ENSG00000185158 LRRC37B gene_1673
ENSG00000206980 RNU6-662P gene_1674
ENSG00000265373 MIR3180-2 gene_1675
ENSG00000099869 IGF2-AS gene_1676
ENSG00000213853 EMP2 gene_1677
ENSG00000248494 LNX1-AS2 gene_1678
ENSG00000207182 RNU1-44P gene_1679
ENSG00000137098 SPAG8 gene_1680
ENSG00000153976 HS3ST3A1 gene_1681
ENSG00000236371 CT47A1 gene_1682
ENSG00000270185 IGHD1OR15-1B gene_1683
ENSG00000105370 LIM2 gene_1684
ENSG00000206854 RNY3P5 gene_1685
ENSG00000206997 RNU6-524P gene_1686
ENSG00000239924 RPL29P22 gene_1687
ENSG00000060303 RPS17P5 gene_1688
ENSG00000064687 ABCA7 gene_1689
ENSG00000170323 FABP4 gene_1690
ENSG00000164740 SEPT7P5 gene_1691
ENSG00000233614 DDX11L10 gene_1692
ENSG00000164062 APEH gene_1693
ENSG00000103150 MLYCD gene_1694
ENSG00000164074 ABHD18 gene_1695
ENSG00000200608 SNORD114-11 gene_1696
ENSG00000260231 JHDM1D-AS1 gene_1697
ENSG00000155545 MIER3 gene_1698
ENSG00000188215 DCUN1D3 gene_1699
ENSG00000223513 ATP6V0E1P2 gene_1700
ENSG00000123352 SPATS2 gene_1701
ENSG00000251724 RNU7-175P gene_1702
ENSG00000046653 GPM6B gene_1703
ENSG00000227620 ALG1L8P gene_1704
ENSG00000234685 NUS1P2 gene_1705
ENSG00000214826 DDX12P gene_1706
ENSG00000238597 SNORD4B gene_1707
ENSG00000185847 LINC01405 gene_1708
ENSG00000221843 C2orf16 gene_1709
ENSG00000125355 TMEM255A gene_1710
ENSG00000124785 NRN1 gene_1711
ENSG00000162441 LZIC gene_1712
ENSG00000236819 LINC01563 gene_1713
ENSG00000214914 RPL23AP3 gene_1714
ENSG00000243957 RN7SL647P gene_1715
ENSG00000221760 MIR548J gene_1716
ENSG00000232987 LINC01219 gene_1717
ENSG00000113368 LMNB1 gene_1718
ENSG00000074071 MRPS34 gene_1719
ENSG00000151917 BEND6 gene_1720
ENSG00000160712 IL6R gene_1721
ENSG00000134365 CFHR4 gene_1722
ENSG00000189052 CGB5 gene_1723
ENSG00000253861 SLC2A3P1 gene_1724
ENSG00000158528 PPP1R9A gene_1725
ENSG00000211804 TRDV1 gene_1726
ENSG00000086598 TMED2 gene_1727
ENSG00000207588 MIR593 gene_1728
ENSG00000237008 LAPTM4BP1 gene_1729
ENSG00000072133 RPS6KA6 gene_1730
ENSG00000223335 RNU6-603P gene_1731
ENSG00000261559 FSCN1P1 gene_1732
ENSG00000250363 KRT18P21 gene_1733
ENSG00000198959 TGM2 gene_1734
ENSG00000215486 ARL2BPP3 gene_1735
ENSG00000189227 C15orf61 gene_1736
ENSG00000212496 RNU6-1093P gene_1737
ENSG00000233395 LINC00841 gene_1738
ENSG00000180867 PDIA3P1 gene_1739
ENSG00000233588 CYP51A1P2 gene_1740
ENSG00000213962 API5P2 gene_1741
ENSG00000251875 RNU5F-2P gene_1742
ENSG00000182220 ATP6AP2 gene_1743
ENSG00000121446 RGSL1 gene_1744
ENSG00000202167 RNU1-114P gene_1745
ENSG00000230543 SNX3P1X gene_1746
ENSG00000247315 ZCCHC3 gene_1747
ENSG00000229658 PABPC1P9 gene_1748
ENSG00000214659 KRT8P26 gene_1749
ENSG00000172775 FAM192A gene_1750
ENSG00000228824 MIR4500HG gene_1751
ENSG00000226262 PHKBP1 gene_1752
ENSG00000228300 C19orf24 gene_1753
ENSG00000182247 UBE2E2 gene_1754
ENSG00000224312 MCCD1P2 gene_1755
ENSG00000226094 RPL7P3 gene_1756
ENSG00000231049 OR52B5P gene_1757
ENSG00000255096 OR5B10P gene_1758
ENSG00000171219 CDC42BPG gene_1759
ENSG00000248008 NRAV gene_1760
ENSG00000251767 RNU7-8P gene_1761
ENSG00000207826 MIR596 gene_1762
ENSG00000234371 RPSAP31 gene_1763
ENSG00000197019 SERTAD1 gene_1764
ENSG00000172893 DHCR7 gene_1765
ENSG00000137273 FOXF2 gene_1766
ENSG00000204920 ZNF155 gene_1767
ENSG00000260034 LCMT1-AS2 gene_1768
ENSG00000025708 TYMP gene_1769
ENSG00000243366 RN7SL60P gene_1770
ENSG00000186562 DEFB105A gene_1771
ENSG00000200902 RNU6-627P gene_1772
ENSG00000238265 LINC00317 gene_1773
ENSG00000100678 SLC8A3 gene_1774
ENSG00000137094 DNAJB5 gene_1775
ENSG00000071553 ATP6AP1 gene_1776
ENSG00000270816 LINC00221 gene_1777
ENSG00000198816 ZNF358 gene_1778
ENSG00000075790 BCAP29 gene_1779
ENSG00000151292 CSNK1G3 gene_1780
ENSG00000133818 RRAS2 gene_1781
ENSG00000054116 TRAPPC3 gene_1782
ENSG00000123159 GIPC1 gene_1783
ENSG00000212535 RNU6-808P gene_1784
ENSG00000198099 ADH4 gene_1785
ENSG00000175575 PAAF1 gene_1786
ENSG00000229303 PPIAP25 gene_1787
ENSG00000235278 ZNF652P1 gene_1788
ENSG00000170266 GLB1 gene_1789
ENSG00000200108 RNU6-774P gene_1790
ENSG00000142698 C1orf94 gene_1791
ENSG00000202336 RNU6-359P gene_1792
ENSG00000060237 WNK1 gene_1793
ENSG00000214720 KRT18P49 gene_1794
ENSG00000265810 MIR3907 gene_1795
ENSG00000222792 RNU6-860P gene_1796
ENSG00000101199 ARFGAP1 gene_1797
ENSG00000230266 XXYLT1-AS2 gene_1798
ENSG00000241188 RN7SL165P gene_1799
ENSG00000254621 SETP16 gene_1800
ENSG00000138029 HADHB gene_1801
ENSG00000254582 PSMA2P1 gene_1802
ENSG00000200478 SNORD115-41 gene_1803
ENSG00000184661 CDCA2 gene_1804
ENSG00000104047 DTWD1 gene_1805
ENSG00000132326 PER2 gene_1806
ENSG00000114113 RBP2 gene_1807
ENSG00000229384 HMGB1P16 gene_1808
ENSG00000235414 RPSAP24 gene_1809
ENSG00000251533 LINC00605 gene_1810
ENSG00000221566 MIR1181 gene_1811
ENSG00000219368 ZNF299P gene_1812
ENSG00000185527 PDE6G gene_1813
ENSG00000234439 KRT18P2 gene_1814
ENSG00000204711 C9orf135 gene_1815
ENSG00000204612 FOXB2 gene_1816
ENSG00000177138 FAM9B gene_1817
ENSG00000263533 MIR4463 gene_1818
ENSG00000232091 PNLIPP1 gene_1819
ENSG00000135636 DYSF gene_1820
ENSG00000280457 DUX4L2 gene_1821
ENSG00000235191 NUCB1-AS1 gene_1822
ENSG00000199577 RNU6-822P gene_1823
ENSG00000088038 CNOT3 gene_1824
ENSG00000264803 MIR378C gene_1825
ENSG00000139531 SUOX gene_1826
ENSG00000207991 MIR601 gene_1827
ENSG00000169228 RAB24 gene_1828
ENSG00000231763 PQLC1P1 gene_1829
ENSG00000232543 IGHD4-11 gene_1830
ENSG00000168291 PDHB gene_1831
ENSG00000103023 PRSS54 gene_1832
ENSG00000115317 HTRA2 gene_1833
ENSG00000132437 DDC gene_1834
ENSG00000200593 SNORD115-33 gene_1835
ENSG00000109944 C11orf63 gene_1836
ENSG00000239249 RN7SL757P gene_1837
ENSG00000233308 OSTN-AS1 gene_1838
ENSG00000200253 RNU6-529P gene_1839
ENSG00000145545 SRD5A1 gene_1840
ENSG00000215452 ZNF663P gene_1841
ENSG00000188163 FAM166A gene_1842
ENSG00000177150 FAM210A gene_1843
ENSG00000237263 MAPK6PS3 gene_1844
ENSG00000225828 FAM229A gene_1845
ENSG00000213934 HBG1 gene_1846
ENSG00000196337 CGB7 gene_1847
ENSG00000242142 SERBP1P3 gene_1848
ENSG00000277759 MIR6719 gene_1849
ENSG00000182674 KCNB2 gene_1850
ENSG00000126775 ATG14 gene_1851
ENSG00000174059 CD34 gene_1852
ENSG00000174989 FBXW8 gene_1853
ENSG00000170624 SGCD gene_1854
ENSG00000257727 CNPY2 gene_1855
ENSG00000226752 PSMD5-AS1 gene_1856
ENSG00000231549 USMG5P1 gene_1857
ENSG00000255444 CYCSP27 gene_1858
ENSG00000240366 RPL36AP45 gene_1859
ENSG00000042781 USH2A gene_1860
ENSG00000263584 MIR4480 gene_1861
ENSG00000068438 FTSJ1 gene_1862
ENSG00000106541 AGR2 gene_1863
ENSG00000234213 FHP1 gene_1864
ENSG00000223457 HTATSF1P1 gene_1865
ENSG00000232373 MTCYBP3 gene_1866
ENSG00000163126 ANKRD23 gene_1867
ENSG00000124380 SNRNP27 gene_1868
ENSG00000134982 APC gene_1869
ENSG00000240021 TEX35 gene_1870
ENSG00000267432 DNAH17-AS1 gene_1871
ENSG00000264006 AKR1C8P gene_1872
ENSG00000212133 RNU6-1168P gene_1873
ENSG00000274831 MIR6824 gene_1874
ENSG00000090530 P3H2 gene_1875
ENSG00000169906 S100G gene_1876
ENSG00000266449 MIR3713 gene_1877
ENSG00000168765 GSTM4 gene_1878
ENSG00000231605 LINC01363 gene_1879
ENSG00000261704 IGHV1OR16-1 gene_1880
ENSG00000229276 REV3L-IT1 gene_1881
ENSG00000109118 PHF12 gene_1882
ENSG00000161526 SAP30BP gene_1883
ENSG00000163171 CDC42EP3 gene_1884
ENSG00000236323 BMP6P1 gene_1885
ENSG00000172489 OR5T3 gene_1886
ENSG00000181001 OR52N1 gene_1887
ENSG00000258227 CLEC5A gene_1888
ENSG00000128917 DLL4 gene_1889
ENSG00000200091 RN7SKP163 gene_1890
ENSG00000227949 CYCSP46 gene_1891
ENSG00000264127 SCML2P1 gene_1892
ENSG00000238076 MRPL48P1 gene_1893
ENSG00000281404 LINC01176 gene_1894
ENSG00000186868 MAPT gene_1895
ENSG00000248377 HMGN1P9 gene_1896
ENSG00000253023 RNU7-156P gene_1897
ENSG00000170786 SDR16C5 gene_1898
ENSG00000198853 RUSC2 gene_1899
ENSG00000136379 ABHD17C gene_1900
ENSG00000136699 SMPD4 gene_1901
ENSG00000130544 ZNF557 gene_1902
ENSG00000136986 DERL1 gene_1903
ENSG00000239873 GAPDHP27 gene_1904
ENSG00000139193 CD27 gene_1905
ENSG00000009307 CSDE1 gene_1906
ENSG00000078898 BPIFB2 gene_1907
ENSG00000134962 KLB gene_1908
ENSG00000105671 DDX49 gene_1909
ENSG00000221983 UBA52 gene_1910
ENSG00000196437 ZNF569 gene_1911
ENSG00000154122 ANKH gene_1912
ENSG00000223978 ZNF736P1Y gene_1913
ENSG00000216060 MIR934 gene_1914
ENSG00000212176 RNA5SP207 gene_1915
ENSG00000211777 TRAV3 gene_1916
ENSG00000167123 CERCAM gene_1917
ENSG00000265592 RN7SL92P gene_1918
ENSG00000157020 SEC13 gene_1919
ENSG00000212327 RNU6-882P gene_1920
ENSG00000234059 CASKP1 gene_1921
ENSG00000233429 HOTAIRM1 gene_1922
ENSG00000128645 HOXD1 gene_1923
ENSG00000205592 MUC19 gene_1924
ENSG00000168487 BMP1 gene_1925
ENSG00000241808 RPS15AP34 gene_1926
ENSG00000253149 IGHVII-31-1 gene_1927
ENSG00000264944 MIR3620 gene_1928
ENSG00000160062 ZBTB8A gene_1929
ENSG00000263540 MIR5582 gene_1930
ENSG00000276747 PADI6 gene_1931
ENSG00000143149 ALDH9A1 gene_1932
ENSG00000152580 IGSF10 gene_1933
ENSG00000244139 RN7SL397P gene_1934
ENSG00000248641 HMGA1P2 gene_1935
ENSG00000226196 GAPDHP75 gene_1936
ENSG00000271986 RN7SL827P gene_1937
ENSG00000230629 RPS23P8 gene_1938
ENSG00000199127 MIR383 gene_1939
ENSG00000230029 CDY11P gene_1940
ENSG00000189091 SF3B3 gene_1941
ENSG00000135063 FAM189A2 gene_1942
ENSG00000104205 SGK3 gene_1943
ENSG00000241511 RPS15AP24 gene_1944
ENSG00000107874 CUEDC2 gene_1945
ENSG00000204560 DHX16 gene_1946
ENSG00000200398 SNORD115-24 gene_1947
ENSG00000211797 TRAV17 gene_1948
ENSG00000144645 OSBPL10 gene_1949
ENSG00000116147 TNR gene_1950
ENSG00000152128 TMEM163 gene_1951
ENSG00000232434 C9orf172 gene_1952
ENSG00000213799 ZNF845 gene_1953
ENSG00000218109 KIRREL3-AS3 gene_1954
ENSG00000125895 TMEM74B gene_1955
ENSG00000266627 RN7SL202P gene_1956
ENSG00000173826 KCNH6 gene_1957
ENSG00000242430 RN7SL274P gene_1958
ENSG00000204007 GLT6D1 gene_1959
ENSG00000184194 GPR173 gene_1960
ENSG00000243986 ENO1P3 gene_1961
ENSG00000250884 OR7E85P gene_1962
ENSG00000251739 RNU6-1053P gene_1963
ENSG00000048828 FAM120A gene_1964
ENSG00000258838 ERCC6-PGBD3 gene_1965
ENSG00000252231 RNA5SP67 gene_1966
ENSG00000207925 MIR516B2 gene_1967
ENSG00000119711 ALDH6A1 gene_1968
ENSG00000276221 MIR8057 gene_1969
ENSG00000203952 CCDC160 gene_1970
ENSG00000258423 OR7E105P gene_1971
ENSG00000221574 RNU6ATAC33P gene_1972
ENSG00000166920 C15orf48 gene_1973
ENSG00000214642 DEFB113 gene_1974
ENSG00000128272 ATF4 gene_1975
ENSG00000274196 FAM197Y4 gene_1976
ENSG00000253242 IGLVIV-64 gene_1977
ENSG00000207128 RNU6-729P gene_1978
ENSG00000215278 RPS7P6 gene_1979
ENSG00000133250 ZNF414 gene_1980
ENSG00000135407 AVIL gene_1981
ENSG00000231396 USP17L10 gene_1982
ENSG00000222146 RNU4-37P gene_1983
ENSG00000251451 GTF2IP9 gene_1984
ENSG00000155330 C16orf87 gene_1985
ENSG00000206260 PRR23A gene_1986
ENSG00000113648 H2AFY gene_1987
ENSG00000228118 MYL6P5 gene_1988
ENSG00000237048 TTTY12 gene_1989
ENSG00000161956 SENP3 gene_1990
ENSG00000134940 ACRV1 gene_1991
ENSG00000207081 RNU6-616P gene_1992
ENSG00000219547 RPL17P25 gene_1993
ENSG00000187953 PMS2CL gene_1994
ENSG00000214077 GNAQP1 gene_1995
ENSG00000104863 LIN7B gene_1996
ENSG00000214822 KRT16P3 gene_1997
ENSG00000271190 RPP40P2 gene_1998
ENSG00000140623 SEPT12 gene_1999
ENSG00000104447 TRPS1 gene_2000
ENSG00000218233 NEPNP gene_2001
ENSG00000225491 UBE2Q2P4Y gene_2002
ENSG00000229814 RPL35AP21 gene_2003
ENSG00000236917 DNAJA1P2 gene_2004
ENSG00000099899 TRMT2A gene_2005
ENSG00000238750 RNU7-27P gene_2006
ENSG00000172478 C2orf54 gene_2007
ENSG00000174939 ASPHD1 gene_2008
ENSG00000260682 RN7SKP176 gene_2009
ENSG00000042813 ZPBP gene_2010
ENSG00000181192 DHTKD1 gene_2011
ENSG00000244211 PDZK1P1 gene_2012
ENSG00000168267 PTF1A gene_2013
ENSG00000119660 DPPA5P4 gene_2014
ENSG00000213107 AHCYP5 gene_2015
ENSG00000204501 PRAMEF15 gene_2016
ENSG00000261809 CYP3A54P gene_2017
ENSG00000252475 RNU6-1332P gene_2018
ENSG00000185156 MFSD6L gene_2019
ENSG00000252297 RNU6-875P gene_2020
ENSG00000223040 RN7SKP144 gene_2021
ENSG00000184564 SLITRK6 gene_2022
ENSG00000270394 MTRNR2L13 gene_2023
ENSG00000207981 MIR519D gene_2024
ENSG00000241721 SUMO1P1 gene_2025
ENSG00000048028 USP28 gene_2026
ENSG00000217261 POM121L4P gene_2027
ENSG00000243700 RN7SL598P gene_2028
ENSG00000184166 OR1D2 gene_2029
ENSG00000145555 MYO10 gene_2030
ENSG00000225882 LINC01456 gene_2031
ENSG00000234948 LINC01524 gene_2032
ENSG00000170498 KISS1 gene_2033
ENSG00000134222 PSRC1 gene_2034
ENSG00000008086 CDKL5 gene_2035
ENSG00000176243 CDV3P1 gene_2036
ENSG00000106013 ANKRD7 gene_2037
ENSG00000234696 GPR50-AS1 gene_2038
ENSG00000236646 LAMTOR5P1 gene_2039
ENSG00000162757 C1orf74 gene_2040
ENSG00000250588 IQCJ-SCHIP1 gene_2041
ENSG00000198286 CARD11 gene_2042
ENSG00000106331 PAX4 gene_2043
ENSG00000271161 BOLA2P2 gene_2044
ENSG00000200554 RNU6-1020P gene_2045
ENSG00000145908 ZNF300 gene_2046
ENSG00000113494 PRLR gene_2047
ENSG00000200370 RNA5S17 gene_2048
ENSG00000266807 MIR548H5 gene_2049
ENSG00000222407 RNA5SP80 gene_2050
ENSG00000137821 LRRC49 gene_2051
ENSG00000089006 SNX5 gene_2052
ENSG00000187753 C9orf153 gene_2053
ENSG00000237432 RPS7P12 gene_2054
ENSG00000197475 ADAM3A gene_2055
ENSG00000198003 CCDC151 gene_2056
ENSG00000211786 TRAV8-2 gene_2057
ENSG00000214960 ISPD gene_2058
ENSG00000200152 RNU6-216P gene_2059
ENSG00000264293 RN7SL657P gene_2060
ENSG00000132031 MATN3 gene_2061
ENSG00000110046 ATG2A gene_2062
ENSG00000180785 OR51E1 gene_2063
ENSG00000147036 LANCL3 gene_2064
ENSG00000236783 RPS15AP27 gene_2065
ENSG00000226496 LINC00323 gene_2066
ENSG00000226220 CICP22 gene_2067
ENSG00000156219 ART3 gene_2068
ENSG00000201458 RNU4-4P gene_2069
ENSG00000187951 ARHGAP11B gene_2070
ENSG00000272436 CUX2P1 gene_2071
ENSG00000253537 PCDHGA7 gene_2072
ENSG00000165182 CXorf58 gene_2073
ENSG00000146250 PRSS35 gene_2074
ENSG00000225158 HSPE1P24 gene_2075
ENSG00000150867 PIP4K2A gene_2076
ENSG00000267252 LINC01255 gene_2077
ENSG00000109061 MYH1 gene_2078
ENSG00000149054 ZNF215 gene_2079
ENSG00000202112 RNU6-690P gene_2080
ENSG00000134755 DSC2 gene_2081
ENSG00000123411 IKZF4 gene_2082
ENSG00000120738 EGR1 gene_2083
ENSG00000266243 MIR4279 gene_2084
ENSG00000041515 MYO16 gene_2085
ENSG00000252826 RNU1-92P gene_2086
ENSG00000278380 OR7E104P gene_2087
ENSG00000135917 SLC19A3 gene_2088
ENSG00000116649 SRM gene_2089
ENSG00000153558 FBXL2 gene_2090
ENSG00000087157 PGS1 gene_2091
ENSG00000248302 BNIP3P41 gene_2092
ENSG00000279847 C8orf87 gene_2093
ENSG00000111077 TNS2 gene_2094
ENSG00000241635 UGT1A1 gene_2095
ENSG00000109689 STIM2 gene_2096
ENSG00000158156 XKR8 gene_2097
